AREA_NAME,tree_density,lat,lon
South Eglinton-Davisville,2008.8762465416296,43.701932177189406,-79.39262301300788
North Toronto,1251.1479798423304,43.710253775411694,-79.39507452423635
Dovercourt Village,1558.2146444552427,43.66622797277221,-79.42880462163019
Junction-Wallace Emerson,1229.9432948437322,43.66530374072112,-79.4451237757564
Yonge-Bay Corridor,337.8847882992058,43.65295133498088,-79.38372789031406
Bay-Cloverhill,1130.98469746109,43.66489869055277,-79.38895122347807
Bendale-Glen Andrew,1853.7721099601995,43.76643131146352,-79.25996704254872
Downsview,924.6835792720098,43.738702033466474,-79.4742451825044
Oakdale-Beverley Heights,1480.8961522267932,43.72655762376395,-79.51074242878049
Avondale,2435.8270494230233,43.760964404679335,-79.40084208650276
East Willowdale,2550.234683935041,43.77344943597631,-79.40031072601089
Yonge-Doris,1693.8120446432274,43.77154340595682,-79.41190926916008
Fenside-Parkwoods,2185.4815554264655,43.761574250171655,-79.33092182237432
Parkwoods-O'Connor Hills,2483.495942837266,43.74980040368418,-79.32957476470648
East L'Amoreaux,2103.5014958465154,43.79896535989409,-79.305671549978
L'Amoreaux West,2023.816388985674,43.79224729259289,-79.32306325053678
Malvern East,2048.301290111638,43.80202407509238,-79.2156481950643
Malvern West,1901.5850783673825,43.80560331097808,-79.23075135335651
Morningside Heights,2331.633467225681,43.82789929851789,-79.19771769816911
West Rouge,2754.9962973893644,43.798600613349386,-79.14801972809379
Woburn North,1654.656214020533,43.773175740458235,-79.2368152734715
Golfdale-Cedarbrae-Woburn,2312.8410907788666,43.760022458549095,-79.21999794871083
Guildwood,2967.098085472385,43.748833263022185,-79.19504407150268
Scarborough Village,2478.4637412344136,43.73865029049657,-79.21681281194854
Eglinton East,1988.9705075365712,43.74092234922255,-79.24559794895026
West Hill,2625.0940397922,43.767490234761354,-79.1766760515835
Morningside,2774.45050793855,43.78239861510799,-79.20704116474084
Highland Creek,2256.9832222141945,43.79077478117511,-79.1774724052995
Centennial Scarborough,2491.76232438588,43.782376634295844,-79.15084316335597
Milliken,1215.6526534035838,43.82069081051801,-79.27500874260532
Agincourt North,1720.872071213508,43.80544051466379,-79.26671202660577
Agincourt South-Malvern West,1663.6425546439189,43.788657871128194,-79.26561167347873
Dorset Park,1184.4352249767644,43.75927435496665,-79.2789079335157
Ionview,1851.096725062432,43.73536440865578,-79.2724704914685
Kennedy Park,2062.0840463272643,43.72555573952045,-79.26038218032308
Cliffcrest,2532.6678357173723,43.72112076259231,-79.23553128150228
Birchcliffe-Cliffside,2345.954763035395,43.694682061785926,-79.26509254007435
Downtown Yonge East,666.6409317980351,43.65503426148428,-79.37712754589346
Church-Wellesley,1127.322226051965,43.666353880397956,-79.38176308868798
St Lawrence-East Bayfront-The Islands,941.9124401289916,43.632240705361426,-79.37435194503527
Harbourfront-CityPlace,591.2148271817798,43.640121605581655,-79.39037877166615
Wellington Place,457.31130399707985,43.64585122601707,-79.39462773178522
Fort York-Liberty Village,1155.7825694935298,43.63427295823425,-79.41300194059838
West Queen West,1412.8107797282016,43.64292797140972,-79.41091135893507
Humber Bay Shores,1668.4425051501655,43.622390378018075,-79.4806386402394
Mimico-Queensway,1341.6384667547957,43.61406140237474,-79.5057510513869
Etobicoke City Centre,800.8157729996675,43.62570881505645,-79.54078053817443
Islington,2278.8714125994425,43.64633577555107,-79.54752750869072
Bendale South,2182.741108791703,43.748652700224326,-79.25244441531117
Caledonia-Fairbank,1719.5861784454917,43.688568371124965,-79.4552126699686
Briar Hill-Belgravia,1292.31725870398,43.69902443917525,-79.45286999045992
Oakwood Village,1616.673163486087,43.688565552939615,-79.43978547145382
Humewood-Cedarvale,2517.1415655391143,43.69136981435191,-79.42768338639303
Lawrence Park North,2516.2441514968145,43.730060176236286,-79.40397833328262
Lawrence Park South,2887.9876613626643,43.717211729113075,-79.40603937238556
Forest Hill North,2685.631576494145,43.70420891305454,-79.42816227627935
Forest Hill South,2871.5115804337715,43.69452565810023,-79.41431801328301
Yonge-Eglinton,2203.7592033964065,43.7046897112032,-79.40359045312574
Mount Pleasant East,2819.576756028474,43.70482724085101,-79.38493460731945
Rosedale-Moore Park,2934.4186333846624,43.682805952390574,-79.37964921048732
Yonge-St.Clair,2350.6708457627224,43.68785952105486,-79.39787102122742
Casa Loma,2703.895172257736,43.681852103689614,-79.40800663826067
Annex,1978.282460368377,43.6715854476955,-79.40400057145615
Wychwood,2043.3501574497095,43.676919270743745,-79.42551493095712
Corso Italia-Davenport,1614.8362100230204,43.677662887702375,-79.4474959753018
Weston-Pelham Park,1177.9744844506238,43.67394752726865,-79.46025050007498
Junction Area,1283.4689315243515,43.66788821078184,-79.47144080702046
Oakridge,2000.314099195915,43.697407450726004,-79.27970949308386
Clairlea-Birchmount,1444.5929727247064,43.71359167672784,-79.2813813739114
Wexford/Maryvale,1365.435262538802,43.748572100260574,-79.29863655946522
Tam O'Shanter-Sullivan,2046.3279173516223,43.78013058641424,-79.30291734023174
Steeles,1862.490105002093,43.81295907242624,-79.32120753960523
Mount Dennis,2147.5920157863275,43.688144079054645,-79.4999890316324
Lambton Baby Point,2695.043841734074,43.657418716535936,-79.4960436452039
Weston,1876.7386614351408,43.702716039849584,-79.51572251256897
Beechborough-Greenbrook,1697.768416752115,43.69321649401057,-79.47947247163275
Rockcliffe-Smythe,1796.510238510568,43.67479054390105,-79.49441950152394
Keelesdale-Eglinton West,1350.3691409013916,43.68572749981123,-79.47143782185346
Palmerston-Little Italy,1817.0979911241736,43.65915710734563,-79.41840871211508
